weights (1.0,1.0,1.0) scale c=3.2000 (3.2) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.598 0.166 0.357 0.32
     2 3.723 0.167 0.291 0.43
     4 3.833 0.164 0.276 0.38
     9 3.950 0.167 0.261 0.34
    18 4.061 0.166 0.256 0.51
    38 4.183 0.168 0.261 0.47
    79 4.300 0.164 0.261 0.63
   163 4.431 0.167 0.261 1.41
   338 4.589 0.168 0.271 2.33
   700 4.745 0.169 0.273 3.66
  1449 4.808 0.168 0.275 7.91
  3000 4.895 0.166 0.279 19.09
SUMMARY: p=1.0 q=1.0 r=1.0 c=3.2000 rho=0.5 L=32 nbrs=4.890 nbrs_over_random=1.630 aligned=0.167 S=15.99 accept=0.285 records=16398 seconds=260
