weights (1.0,1.0,1.0) scale c=2.0000 (2.0) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.434 0.173 0.427 0.32
     2 3.463 0.164 0.387 0.45
     4 3.511 0.170 0.378 0.45
     9 3.572 0.169 0.386 0.34
    18 3.610 0.166 0.384 0.40
    38 3.596 0.163 0.402 0.75
    79 3.638 0.164 0.378 1.15
   163 3.559 0.166 0.404 0.83
   338 3.595 0.171 0.394 3.02
   700 3.608 0.165 0.384 1.36
  1449 3.636 0.162 0.372 1.70
  3000 3.664 0.157 0.383 2.94
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.0000 rho=0.5 L=16 nbrs=3.608 nbrs_over_random=1.203 aligned=0.167 S=1.29 accept=0.388 records=2061 seconds=73
