weights (1.0,1.0,1.0) scale c=2.6000 (2.6) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.529 0.172 0.387 0.30
     2 3.625 0.161 0.345 0.51
     4 3.698 0.152 0.333 0.59
     9 3.801 0.173 0.327 0.59
    18 3.922 0.171 0.307 0.73
    38 3.953 0.165 0.314 1.29
    79 3.951 0.161 0.326 3.74
   163 4.029 0.164 0.328 7.95
   338 4.046 0.164 0.335 13.97
   700 4.217 0.164 0.327 20.25
  1449 4.232 0.161 0.331 29.11
  3000 4.312 0.184 0.307 35.51
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.6000 rho=0.5 L=16 nbrs=4.276 nbrs_over_random=1.425 aligned=0.168 S=34.68 accept=0.328 records=2061 seconds=67
