weights (1.0,1.0,1.0) scale c=2.4000 (2.4) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.502 0.170 0.397 0.29
     2 3.595 0.165 0.368 0.47
     4 3.682 0.166 0.346 0.73
     9 3.733 0.164 0.340 0.90
    18 3.727 0.156 0.344 0.77
    38 3.800 0.167 0.337 1.66
    79 3.840 0.167 0.355 3.40
   163 3.799 0.168 0.346 1.66
   338 3.925 0.161 0.350 7.93
   700 4.050 0.158 0.324 9.19
  1449 3.889 0.159 0.329 6.87
  3000 3.848 0.167 0.323 8.53
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.4000 rho=0.5 L=16 nbrs=3.936 nbrs_over_random=1.312 aligned=0.167 S=7.41 accept=0.341 records=2061 seconds=46
