weights (1.0,1.0,1.0) scale c=2.2000 (2.2) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.482 0.169 0.415 0.51
     2 3.510 0.166 0.369 0.50
     4 3.589 0.173 0.359 0.51
     9 3.635 0.162 0.360 0.59
    18 3.675 0.165 0.360 0.94
    38 3.660 0.165 0.365 0.93
    79 3.726 0.167 0.363 1.54
   163 3.739 0.166 0.364 1.94
   338 3.707 0.173 0.361 1.77
   700 3.702 0.167 0.358 2.79
  1449 3.713 0.167 0.360 4.76
  3000 3.729 0.166 0.363 4.66
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.2000 rho=0.5 L=24 nbrs=3.738 nbrs_over_random=1.246 aligned=0.167 S=2.73 accept=0.363 records=6894 seconds=120
