weights (1.0,1.0,1.0) scale c=2.8000 (2.8) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.553 0.166 0.374 0.33
     2 3.660 0.163 0.316 0.39
     4 3.749 0.162 0.305 0.47
     9 3.838 0.172 0.300 0.42
    18 3.950 0.167 0.296 0.66
    38 4.022 0.168 0.295 0.68
    79 4.084 0.166 0.294 0.63
   163 4.161 0.165 0.297 0.84
   338 4.238 0.168 0.299 3.80
   700 4.395 0.169 0.298 3.56
  1449 4.462 0.170 0.315 7.43
  3000 4.577 0.167 0.321 33.63
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.8000 rho=0.5 L=32 nbrs=4.587 nbrs_over_random=1.529 aligned=0.166 S=27.11 accept=0.320 records=16398 seconds=285
