weights (1.0,1.0,1.0) scale c=2.2000 (2.2) rho=0.5 L=32 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.463 0.167 0.409 0.29
     2 3.546 0.168 0.375 0.29
     4 3.596 0.168 0.367 0.26
     9 3.641 0.168 0.366 0.21
    18 3.674 0.165 0.364 0.18
    38 3.692 0.164 0.365 0.22
    79 3.704 0.164 0.362 0.15
   163 3.726 0.168 0.362 0.59
   338 3.727 0.167 0.360 1.87
   700 3.744 0.166 0.362 0.94
  1449 3.771 0.163 0.368 4.25
  3000 3.733 0.167 0.355 3.33
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.2000 rho=0.5 L=32 nbrs=3.738 nbrs_over_random=1.246 aligned=0.167 S=3.44 accept=0.363 records=16398 seconds=279
