weights (1.0,1.0,1.0) scale c=2.6000 (2.6) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.547 0.164 0.389 0.42
     2 3.628 0.164 0.329 0.36
     4 3.712 0.163 0.325 0.39
     9 3.787 0.165 0.312 0.51
    18 3.846 0.165 0.320 0.50
    38 3.911 0.164 0.322 0.80
    79 3.963 0.166 0.313 1.52
   163 4.044 0.163 0.313 2.01
   338 4.060 0.166 0.318 2.08
   700 4.160 0.167 0.310 2.81
  1449 4.155 0.171 0.320 16.80
  3000 4.251 0.174 0.328 50.83
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.6000 rho=0.5 L=24 nbrs=4.229 nbrs_over_random=1.410 aligned=0.167 S=44.06 accept=0.328 records=6894 seconds=116
