weights (1.0,1.0,1.0) scale c=2.3000 (2.3) rho=0.5 L=16 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.495 0.171 0.402 0.31
     2 3.646 0.166 0.371 0.42
     4 3.690 0.169 0.362 0.43
     9 3.680 0.163 0.361 0.30
    18 3.732 0.177 0.339 0.74
    38 3.780 0.164 0.351 1.02
    79 3.812 0.163 0.351 2.37
   163 3.830 0.169 0.341 0.67
   338 3.707 0.173 0.358 1.23
   700 3.799 0.163 0.343 5.24
  1449 3.787 0.170 0.342 3.90
  3000 3.811 0.181 0.339 3.45
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.3000 rho=0.5 L=16 nbrs=3.813 nbrs_over_random=1.271 aligned=0.167 S=3.68 accept=0.351 records=2061 seconds=45
