weights (1.0,1.0,1.0) scale c=2.3000 (2.3) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.500 0.168 0.407 0.51
     2 3.557 0.167 0.359 0.45
     4 3.661 0.165 0.347 0.54
     9 3.679 0.168 0.349 0.65
    18 3.733 0.163 0.346 0.48
    38 3.760 0.166 0.350 0.59
    79 3.727 0.163 0.343 1.21
   163 3.804 0.168 0.355 1.63
   338 3.799 0.162 0.354 2.89
   700 3.811 0.169 0.350 4.86
  1449 3.800 0.163 0.353 4.27
  3000 3.815 0.167 0.348 7.27
SUMMARY: p=1.0 q=1.0 r=1.0 c=2.3000 rho=0.5 L=24 nbrs=3.818 nbrs_over_random=1.273 aligned=0.167 S=8.21 accept=0.352 records=6894 seconds=119
