weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.392 0.285 0.343 0.25
     2 4.436 0.323 0.210 0.26
     4 4.475 0.361 0.150 0.21
     9 4.524 0.402 0.112 0.22
    18 4.594 0.439 0.090 0.20
    38 4.630 0.484 0.073 0.29
    79 4.701 0.528 0.058 0.19
   163 4.766 0.573 0.051 0.28
   338 4.817 0.620 0.039 0.18
   700 4.905 0.662 0.036 0.20
  1449 4.971 0.701 0.029 0.19
  3000 5.053 0.731 0.025 0.26
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.7 L=24 nbrs=5.042 nbrs_over_random=1.200 aligned=0.725 S=0.22 accept=0.025 records=9646 seconds=190
