weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.082 0.292 0.388 0.24
     2 4.077 0.336 0.288 0.30
     4 4.104 0.381 0.250 0.21
     9 4.118 0.439 0.222 0.19
    18 4.136 0.502 0.204 0.07
    38 4.203 0.570 0.198 0.14
    79 4.268 0.649 0.181 0.25
   163 4.343 0.724 0.171 0.15
   338 4.404 0.785 0.163 0.14
   700 4.481 0.833 0.170 0.14
  1449 4.538 0.882 0.167 0.13
  3000 4.645 0.917 0.177 0.67
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.7 L=24 nbrs=4.628 nbrs_over_random=1.102 aligned=0.911 S=0.67 accept=0.171 records=9646 seconds=155
