weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.066 0.374 0.397 0.12
     2 1.192 0.482 0.316 0.14
     4 1.365 0.560 0.246 0.18
     9 1.566 0.643 0.192 0.15
    18 1.712 0.670 0.167 0.24
    38 1.974 0.694 0.150 0.23
    79 2.234 0.747 0.142 0.18
   163 2.585 0.799 0.097 0.21
   338 3.029 0.842 0.075 0.26
   700 3.302 0.891 0.064 0.30
  1449 3.552 0.912 0.046 0.53
  3000 3.702 0.926 0.027 0.87
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.651 nbrs_over_random=6.085 aligned=0.925 S=0.68 accept=0.036 records=1396 seconds=178
