weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.405 0.346 0.311 0.45
     2 3.507 0.392 0.175 0.49
     4 3.585 0.435 0.120 0.50
     9 3.701 0.474 0.086 0.50
    18 3.799 0.502 0.071 0.47
    38 3.905 0.541 0.056 0.47
    79 4.012 0.583 0.047 0.47
   163 4.097 0.632 0.041 0.48
   338 4.205 0.673 0.030 0.49
   700 4.298 0.710 0.027 0.55
  1449 4.402 0.744 0.021 0.58
  3000 4.487 0.775 0.016 0.67
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.470 nbrs_over_random=1.490 aligned=0.770 S=0.70 accept=0.019 records=6894 seconds=115
