weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.644 0.467 0.420 0.07
     2 0.791 0.523 0.361 0.08
     4 0.905 0.618 0.295 0.09
     9 1.050 0.692 0.251 0.09
    18 1.313 0.726 0.172 0.08
    38 1.447 0.800 0.159 0.08
    79 1.705 0.829 0.137 0.13
   163 2.043 0.867 0.112 0.15
   338 2.454 0.889 0.084 0.09
   700 2.803 0.901 0.076 0.12
  1449 3.052 0.946 0.055 0.25
  3000 3.308 0.958 0.033 0.46
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.05 L=24 nbrs=3.266 nbrs_over_random=10.888 aligned=0.960 S=0.41 accept=0.037 records=705 seconds=162
