weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.355 0.806 0.360 0.12
     2 0.424 0.861 0.310 0.14
     4 0.516 0.903 0.298 0.10
     9 0.616 0.923 0.288 0.09
    18 0.619 0.924 0.289 0.03
    38 0.676 0.941 0.297 0.11
    79 0.705 0.919 0.289 0.09
   163 0.699 0.936 0.292 0.25
   338 0.789 0.942 0.286 0.12
   700 0.739 0.934 0.307 0.12
  1449 0.801 0.941 0.287 0.24
  3000 0.973 0.951 0.284 0.56
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.1 L=24 nbrs=0.897 nbrs_over_random=1.494 aligned=0.951 S=0.35 accept=0.295 records=1396 seconds=115
