weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.310 0.442 0.259 0.46
     2 2.222 0.523 0.118 0.42
     4 2.228 0.591 0.080 0.43
     9 2.332 0.670 0.067 0.32
    18 2.488 0.726 0.063 0.20
    38 2.665 0.797 0.057 0.15
    79 2.930 0.863 0.055 0.09
   163 3.162 0.913 0.058 0.15
   338 3.402 0.950 0.053 0.07
   700 3.639 0.975 0.062 0.06
  1449 3.916 0.986 0.072 0.21
  3000 4.183 0.993 0.083 0.30
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.5 L=24 nbrs=4.124 nbrs_over_random=1.375 aligned=0.993 S=0.20 accept=0.080 records=6894 seconds=173
