weights (24.0,1.0,2.0) scale c=0.1818 (neutral) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.270 0.653 0.442 0.05
     2 0.287 0.733 0.425 0.04
     4 0.309 0.716 0.442 0.06
     9 0.332 0.692 0.418 0.03
    18 0.275 0.722 0.424 0.03
    38 0.306 0.750 0.421 0.01
    79 0.338 0.756 0.425 0.06
   163 0.318 0.759 0.423 0.10
   338 0.326 0.748 0.422 0.04
   700 0.349 0.724 0.423 0.01
  1449 0.338 0.689 0.428 0.01
  3000 0.346 0.754 0.419 0.05
SUMMARY: p=24.0 q=1.0 r=2.0 c=0.1818 rho=0.05 L=24 nbrs=0.311 nbrs_over_random=1.035 aligned=0.733 S=0.05 accept=0.427 records=705 seconds=115
