weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.196 0.870 0.407 0.07
     2 0.230 0.864 0.388 0.08
     4 0.292 0.893 0.378 0.12
     9 0.298 0.943 0.395 0.15
    18 0.355 0.928 0.382 0.10
    38 0.267 0.968 0.392 0.06
    79 0.312 0.909 0.390 0.01
   163 0.272 0.917 0.371 0.01
   338 0.289 0.853 0.386 0.02
   700 0.304 0.888 0.384 0.06
  1449 0.312 0.891 0.390 0.06
  3000 0.369 0.946 0.373 0.10
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.05 L=24 nbrs=0.314 nbrs_over_random=1.046 aligned=0.918 S=0.04 accept=0.379 records=705 seconds=109
