weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.414 0.360 0.336 0.43
     2 2.525 0.414 0.228 0.47
     4 2.679 0.452 0.180 0.42
     9 2.815 0.507 0.154 0.49
    18 3.019 0.552 0.132 0.40
    38 3.245 0.615 0.113 0.44
    79 3.471 0.667 0.108 0.79
   163 3.726 0.726 0.084 1.00
   338 3.927 0.790 0.071 1.57
   700 4.147 0.828 0.059 2.39
  1449 4.289 0.854 0.052 5.08
  3000 4.461 0.868 0.046 8.15
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.413 nbrs_over_random=2.452 aligned=0.866 S=7.71 accept=0.045 records=4173 seconds=110
