weights (12.0,1.0,2.0) scale c=1.0000 (1) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.635 0.402 0.442 0.08
     2 0.712 0.430 0.409 0.08
     4 0.647 0.531 0.386 0.10
     9 0.766 0.530 0.373 0.09
    18 0.862 0.556 0.368 0.05
    38 0.996 0.598 0.340 0.04
    79 0.948 0.635 0.339 0.06
   163 1.050 0.554 0.354 0.11
   338 1.024 0.637 0.348 0.08
   700 1.143 0.650 0.351 0.15
  1449 1.631 0.817 0.328 0.72
  3000 2.752 0.897 0.309 2.54
SUMMARY: p=12.0 q=1.0 r=2.0 c=1.0000 rho=0.05 L=24 nbrs=2.503 nbrs_over_random=8.343 aligned=0.899 S=1.87 accept=0.307 records=705 seconds=109
