weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.301 0.557 0.460 0.06
     2 0.301 0.594 0.449 0.06
     4 0.301 0.528 0.451 0.04
     9 0.252 0.607 0.457 0.06
    18 0.298 0.562 0.449 0.05
    38 0.369 0.577 0.457 0.08
    79 0.340 0.633 0.461 0.02
   163 0.306 0.528 0.463 0.04
   338 0.329 0.534 0.457 0.04
   700 0.312 0.536 0.456 0.04
  1449 0.295 0.529 0.459 0.06
  3000 0.287 0.485 0.462 0.05
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.05 L=24 nbrs=0.308 nbrs_over_random=1.026 aligned=0.578 S=0.05 accept=0.457 records=705 seconds=112
