weights (48.0,1.0,2.0) scale c=0.1053 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.313 0.581 0.297 0.32
     2 1.386 0.644 0.205 0.30
     4 1.499 0.715 0.181 0.28
     9 1.627 0.793 0.162 0.25
    18 1.781 0.832 0.160 0.17
    38 2.031 0.885 0.158 0.18
    79 2.289 0.928 0.151 0.41
   163 2.651 0.959 0.158 0.73
   338 3.006 0.973 0.158 1.15
   700 3.221 0.982 0.169 2.63
  1449 3.473 0.988 0.180 3.26
  3000 3.703 0.991 0.187 4.75
SUMMARY: p=48.0 q=1.0 r=2.0 c=0.1053 rho=0.3 L=24 nbrs=3.667 nbrs_over_random=2.037 aligned=0.991 S=3.94 accept=0.182 records=4173 seconds=125
