weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.696 0.745 0.290 0.27
     2 0.756 0.793 0.205 0.27
     4 0.871 0.857 0.193 0.24
     9 1.055 0.890 0.194 0.17
    18 1.196 0.911 0.188 0.19
    38 1.391 0.945 0.181 0.28
    79 1.523 0.951 0.189 0.53
   163 1.830 0.966 0.191 0.31
   338 2.190 0.977 0.194 0.71
   700 2.773 0.989 0.207 0.77
  1449 3.138 0.994 0.208 2.56
  3000 3.334 0.994 0.224 5.73
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.2 L=24 nbrs=3.284 nbrs_over_random=2.737 aligned=0.995 S=3.95 accept=0.214 records=2773 seconds=121
