weights (24.0,1.0,2.0) scale c=0.1818 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.473 0.508 0.339 0.28
     2 1.605 0.580 0.260 0.24
     4 1.646 0.639 0.244 0.22
     9 1.751 0.698 0.231 0.17
    18 1.914 0.748 0.226 0.08
    38 2.011 0.815 0.219 0.12
    79 2.252 0.869 0.211 0.31
   163 2.478 0.890 0.216 0.42
   338 2.743 0.924 0.219 0.32
   700 3.132 0.956 0.228 3.21
  1449 3.380 0.970 0.229 6.03
  3000 3.564 0.975 0.248 16.97
SUMMARY: p=24.0 q=1.0 r=2.0 c=0.1818 rho=0.3 L=24 nbrs=3.554 nbrs_over_random=1.975 aligned=0.976 S=13.85 accept=0.240 records=4173 seconds=184
