weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.839 0.378 0.354 0.32
     2 1.968 0.423 0.256 0.30
     4 2.093 0.477 0.214 0.33
     9 2.281 0.522 0.187 0.36
    18 2.437 0.586 0.160 0.54
    38 2.690 0.635 0.147 0.49
    79 2.969 0.689 0.134 0.84
   163 3.278 0.743 0.111 0.78
   338 3.588 0.803 0.091 1.27
   700 3.869 0.852 0.071 1.96
  1449 4.065 0.869 0.057 2.33
  3000 4.249 0.894 0.050 2.91
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.2 L=24 nbrs=4.233 nbrs_over_random=3.528 aligned=0.881 S=2.66 accept=0.052 records=2773 seconds=119
