weights (48.0,1.0,2.0) scale c=0.1053 (neutral) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.821 0.650 0.321 0.22
     2 0.893 0.699 0.249 0.21
     4 0.991 0.770 0.238 0.21
     9 1.114 0.823 0.232 0.28
    18 1.223 0.850 0.223 0.22
    38 1.356 0.886 0.221 0.20
    79 1.472 0.894 0.219 0.25
   163 1.760 0.925 0.222 0.23
   338 2.017 0.950 0.230 0.22
   700 2.556 0.971 0.236 1.80
  1449 2.816 0.984 0.244 3.17
  3000 3.222 0.989 0.250 15.12
SUMMARY: p=48.0 q=1.0 r=2.0 c=0.1053 rho=0.2 L=24 nbrs=3.192 nbrs_over_random=2.660 aligned=0.988 S=12.27 accept=0.249 records=2773 seconds=113
