weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.647 0.430 0.431 0.07
     2 0.752 0.494 0.381 0.08
     4 0.789 0.565 0.351 0.10
     9 0.950 0.651 0.312 0.07
    18 1.055 0.640 0.305 0.08
    38 1.135 0.738 0.279 0.04
    79 1.404 0.747 0.260 0.05
   163 1.597 0.819 0.232 0.13
   338 2.247 0.851 0.200 0.50
   700 2.698 0.928 0.200 0.26
  1449 3.447 0.955 0.141 0.62
  3000 3.850 0.959 0.107 1.12
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.05 L=24 nbrs=3.700 nbrs_over_random=12.332 aligned=0.962 S=1.01 accept=0.125 records=705 seconds=111
