weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.064 0.389 0.395 0.13
     2 1.236 0.504 0.305 0.15
     4 1.410 0.574 0.232 0.19
     9 1.577 0.663 0.156 0.24
    18 1.729 0.715 0.129 0.19
    38 1.981 0.744 0.111 0.23
    79 2.265 0.769 0.097 0.29
   163 2.477 0.821 0.085 0.24
   338 2.830 0.857 0.065 0.38
   700 3.062 0.890 0.041 0.53
  1449 3.335 0.902 0.030 0.81
  3000 3.532 0.923 0.031 0.98
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.497 nbrs_over_random=5.828 aligned=0.916 S=0.84 accept=0.028 records=1396 seconds=116
