weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.393 0.290 0.337 0.24
     2 4.423 0.329 0.195 0.22
     4 4.466 0.364 0.132 0.23
     9 4.504 0.407 0.094 0.25
    18 4.558 0.441 0.074 0.20
    38 4.601 0.479 0.058 0.25
    79 4.677 0.515 0.048 0.38
   163 4.730 0.553 0.040 0.40
   338 4.780 0.594 0.038 0.38
   700 4.832 0.637 0.028 0.43
  1449 4.895 0.673 0.024 0.51
  3000 4.930 0.708 0.020 0.50
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.7 L=24 nbrs=4.921 nbrs_over_random=1.172 aligned=0.701 S=0.44 accept=0.021 records=9646 seconds=124
