weights (24.0,1.0,2.0) scale c=0.1818 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.660 0.399 0.325 0.38
     2 2.674 0.464 0.221 0.30
     4 2.732 0.529 0.190 0.20
     9 2.791 0.607 0.170 0.31
    18 2.955 0.678 0.159 0.14
    38 3.109 0.763 0.144 0.10
    79 3.279 0.827 0.134 0.12
   163 3.474 0.881 0.133 0.40
   338 3.687 0.928 0.133 0.25
   700 3.848 0.948 0.139 0.40
  1449 4.055 0.969 0.146 2.33
  3000 4.261 0.983 0.159 3.30
SUMMARY: p=24.0 q=1.0 r=2.0 c=0.1818 rho=0.5 L=24 nbrs=4.205 nbrs_over_random=1.402 aligned=0.979 S=3.06 accept=0.154 records=6894 seconds=139
