weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.414 0.376 0.323 0.42
     2 2.531 0.430 0.206 0.41
     4 2.671 0.474 0.150 0.47
     9 2.820 0.531 0.118 0.50
    18 2.973 0.565 0.105 0.52
    38 3.166 0.621 0.078 0.51
    79 3.381 0.669 0.063 0.77
   163 3.594 0.712 0.061 0.81
   338 3.815 0.752 0.045 0.99
   700 3.971 0.808 0.032 0.86
  1449 4.136 0.838 0.030 0.84
  3000 4.265 0.863 0.025 1.41
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.232 nbrs_over_random=2.351 aligned=0.860 S=1.15 accept=0.024 records=4173 seconds=113
