weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.402 0.387 0.316 0.42
     2 2.548 0.439 0.193 0.41
     4 2.682 0.487 0.138 0.41
     9 2.790 0.540 0.102 0.45
    18 2.946 0.572 0.081 0.39
    38 3.083 0.615 0.068 0.43
    79 3.262 0.657 0.054 0.30
   163 3.456 0.701 0.051 0.40
   338 3.623 0.745 0.036 0.51
   700 3.798 0.783 0.027 0.60
  1449 3.978 0.808 0.022 0.39
  3000 4.095 0.839 0.019 0.32
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.073 nbrs_over_random=2.263 aligned=0.836 S=0.42 accept=0.019 records=4173 seconds=117
