weights (96.0,1.0,2.0) scale c=1.0000 (1) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.837 0.411 0.337 0.30
     2 1.968 0.468 0.215 0.27
     4 2.138 0.523 0.151 0.28
     9 2.283 0.587 0.111 0.35
    18 2.437 0.626 0.088 0.43
    38 2.606 0.643 0.088 0.45
    79 2.840 0.689 0.068 0.40
   163 3.057 0.736 0.056 0.41
   338 3.316 0.777 0.039 0.54
   700 3.473 0.809 0.036 0.52
  1449 3.695 0.831 0.033 0.70
  3000 3.818 0.864 0.019 1.60
SUMMARY: p=96.0 q=1.0 r=2.0 c=1.0000 rho=0.2 L=24 nbrs=3.801 nbrs_over_random=3.167 aligned=0.858 S=1.32 accept=0.021 records=2773 seconds=124
