weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.3 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.129 0.623 0.259 0.31
     2 1.186 0.724 0.155 0.26
     4 1.293 0.792 0.128 0.20
     9 1.472 0.844 0.123 0.19
    18 1.627 0.896 0.125 0.23
    38 1.903 0.923 0.120 0.17
    79 2.226 0.959 0.127 0.03
   163 2.563 0.975 0.124 0.09
   338 2.984 0.987 0.135 0.19
   700 3.293 0.992 0.144 0.37
  1449 3.564 0.993 0.148 1.52
  3000 3.813 0.997 0.162 1.94
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.3 L=24 nbrs=3.783 nbrs_over_random=2.102 aligned=0.996 S=1.16 accept=0.156 records=4173 seconds=126
