weights (96.0,1.0,2.0) scale c=0.0571 (neutral) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.884 0.322 0.297 0.23
     2 3.836 0.377 0.150 0.21
     4 3.812 0.429 0.093 0.17
     9 3.821 0.489 0.067 0.15
    18 3.830 0.537 0.050 0.13
    38 3.872 0.591 0.045 0.10
    79 3.929 0.646 0.040 0.14
   163 4.017 0.713 0.035 0.14
   338 4.129 0.770 0.036 0.15
   700 4.217 0.819 0.035 0.13
  1449 4.318 0.861 0.036 0.12
  3000 4.411 0.907 0.034 0.15
SUMMARY: p=96.0 q=1.0 r=2.0 c=0.0571 rho=0.7 L=24 nbrs=4.383 nbrs_over_random=1.044 aligned=0.898 S=0.18 accept=0.034 records=9646 seconds=116
