weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.408 0.340 0.319 0.46
     2 3.484 0.386 0.191 0.51
     4 3.608 0.420 0.138 0.48
     9 3.708 0.468 0.103 0.50
    18 3.817 0.505 0.088 0.51
    38 3.921 0.554 0.076 0.68
    79 4.045 0.606 0.062 0.82
   163 4.170 0.654 0.045 0.80
   338 4.314 0.692 0.036 0.98
   700 4.415 0.741 0.035 0.99
  1449 4.530 0.773 0.025 1.01
  3000 4.601 0.804 0.022 1.54
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.588 nbrs_over_random=1.529 aligned=0.798 S=1.47 accept=0.023 records=6894 seconds=128
