weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.050 0.355 0.403 0.12
     2 1.172 0.456 0.331 0.14
     4 1.331 0.543 0.279 0.15
     9 1.446 0.585 0.247 0.23
    18 1.633 0.619 0.229 0.20
    38 1.870 0.700 0.195 0.19
    79 2.085 0.734 0.179 0.40
   163 2.481 0.797 0.173 0.37
   338 3.064 0.865 0.128 0.41
   700 3.438 0.906 0.126 0.77
  1449 3.746 0.924 0.091 1.07
  3000 3.967 0.936 0.078 2.34
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.1 L=24 nbrs=3.935 nbrs_over_random=6.558 aligned=0.929 S=1.99 accept=0.077 records=1396 seconds=112
