weights (48.0,1.0,2.0) scale c=0.1053 (neutral) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.455 0.426 0.282 0.35
     2 2.446 0.496 0.160 0.31
     4 2.499 0.579 0.124 0.24
     9 2.606 0.657 0.108 0.27
    18 2.724 0.718 0.098 0.23
    38 2.932 0.795 0.092 0.21
    79 3.162 0.861 0.085 0.16
   163 3.389 0.913 0.085 0.12
   338 3.610 0.944 0.084 0.26
   700 3.804 0.967 0.092 0.46
  1449 4.056 0.982 0.098 0.31
  3000 4.262 0.990 0.108 0.51
SUMMARY: p=48.0 q=1.0 r=2.0 c=0.1053 rho=0.5 L=24 nbrs=4.218 nbrs_over_random=1.406 aligned=0.989 S=0.38 accept=0.108 records=6894 seconds=117
