weights (12.0,1.0,2.0) scale c=1.0000 (1) rho=0.7 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=4.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 4.393 0.264 0.369 0.29
     2 4.442 0.295 0.268 0.22
     4 4.491 0.331 0.221 0.20
     9 4.545 0.374 0.186 0.34
    18 4.602 0.420 0.162 0.40
    38 4.678 0.465 0.145 0.39
    79 4.746 0.528 0.122 0.44
   163 4.844 0.586 0.115 0.68
   338 4.917 0.660 0.101 1.71
   700 5.003 0.715 0.088 1.64
  1449 5.125 0.749 0.081 2.81
  3000 5.200 0.793 0.080 2.50
SUMMARY: p=12.0 q=1.0 r=2.0 c=1.0000 rho=0.7 L=24 nbrs=5.194 nbrs_over_random=1.237 aligned=0.786 S=2.83 accept=0.078 records=9646 seconds=127
