weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.2 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=1.200 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.049 0.458 0.409 0.25
     2 1.132 0.496 0.383 0.21
     4 1.181 0.525 0.375 0.13
     9 1.199 0.565 0.357 0.08
    18 1.208 0.576 0.369 0.05
    38 1.258 0.584 0.364 0.05
    79 1.246 0.631 0.352 0.34
   163 1.258 0.607 0.357 0.17
   338 1.292 0.603 0.359 0.10
   700 1.321 0.610 0.352 0.17
  1449 1.248 0.608 0.352 0.25
  3000 1.275 0.606 0.356 0.17
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.2 L=24 nbrs=1.254 nbrs_over_random=1.045 aligned=0.608 S=0.17 accept=0.359 records=2773 seconds=185
