weights (24.0,1.0,2.0) scale c=1.0000 (1) rho=0.5 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=3.000 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 3.427 0.324 0.330 0.44
     2 3.525 0.363 0.215 0.45
     4 3.627 0.403 0.168 0.42
     9 3.748 0.450 0.132 0.40
    18 3.841 0.497 0.117 0.23
    38 3.985 0.557 0.098 0.36
    79 4.130 0.614 0.077 0.39
   163 4.297 0.664 0.065 0.40
   338 4.399 0.719 0.055 0.39
   700 4.564 0.758 0.051 0.71
  1449 4.686 0.794 0.036 0.94
  3000 4.794 0.819 0.042 0.78
SUMMARY: p=24.0 q=1.0 r=2.0 c=1.0000 rho=0.5 L=24 nbrs=4.781 nbrs_over_random=1.594 aligned=0.815 S=1.02 accept=0.038 records=6894 seconds=123
