weights (10.0,1.0,2.0) scale c=0.3158 (neutral) rho=0.3 L=24 sweeps=3000 seed=2 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.696 0.405 0.404 0.04
     2 1.720 0.457 0.359 0.05
     4 1.786 0.492 0.344 0.03
     9 1.818 0.530 0.336 0.03
    18 1.841 0.576 0.328 0.23
    38 1.926 0.582 0.330 0.32
    79 1.886 0.567 0.336 0.22
   163 1.905 0.612 0.333 0.11
   338 1.994 0.607 0.332 0.37
   700 1.948 0.617 0.332 0.63
  1449 2.053 0.635 0.325 0.23
  3000 2.220 0.714 0.343 1.06
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.3158 rho=0.3 L=24 nbrs=2.134 nbrs_over_random=1.186 aligned=0.692 S=1.02 accept=0.332 records=4188 seconds=182
