weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=4 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.703 0.385 0.417 0.09
     2 1.716 0.407 0.377 0.11
     4 1.773 0.461 0.368 0.17
     9 1.814 0.484 0.360 0.16
    18 1.852 0.496 0.373 0.14
    38 1.862 0.482 0.371 0.21
    79 1.887 0.515 0.360 0.64
   163 1.858 0.511 0.358 0.17
   338 1.848 0.515 0.370 0.23
   700 1.862 0.514 0.361 0.23
  1449 1.824 0.497 0.368 0.14
  3000 1.867 0.509 0.370 0.26
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.3 L=24 nbrs=1.844 nbrs_over_random=1.024 aligned=0.507 S=0.17 accept=0.367 records=4145 seconds=184
