weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=20000 seed=5 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.726 0.382 0.422 0.21
     2 1.792 0.412 0.388 0.34
     6 1.831 0.467 0.369 0.23
    15 1.837 0.486 0.368 0.17
    37 1.863 0.489 0.367 0.24
    90 1.841 0.525 0.362 0.13
   222 1.923 0.522 0.366 0.30
   546 1.884 0.519 0.361 0.07
  1343 1.870 0.510 0.373 0.23
  3304 1.879 0.514 0.365 0.20
  8129 1.888 0.517 0.360 0.19
 20000 1.898 0.517 0.374 0.14
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.3 L=24 nbrs=1.877 nbrs_over_random=1.043 aligned=0.512 S=0.24 accept=0.365 records=4205 seconds=1144
