weights (10.0,1.0,2.0) scale c=0.3158 (neutral) rho=0.3 L=24 sweeps=20000 seed=5 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.684 0.407 0.403 0.16
     2 1.685 0.451 0.364 0.24
     6 1.808 0.511 0.345 0.25
    15 1.821 0.546 0.339 0.27
    37 1.913 0.566 0.332 0.25
    90 1.949 0.595 0.328 0.53
   222 1.923 0.606 0.336 0.17
   546 1.974 0.608 0.332 0.21
  1343 1.947 0.623 0.330 0.61
  3304 2.192 0.708 0.336 2.69
  8129 2.333 0.768 0.327 5.76
 20000 2.381 0.748 0.347 3.07
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.3158 rho=0.3 L=24 nbrs=2.380 nbrs_over_random=1.322 aligned=0.769 S=3.10 accept=0.336 records=4205 seconds=848
