weights (6.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=20000 seed=5 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.361 0.286 0.398 0.24
     2 2.480 0.318 0.333 0.26
     6 2.658 0.372 0.302 0.25
    15 2.785 0.389 0.290 0.50
    37 2.877 0.397 0.291 0.56
    90 2.984 0.448 0.282 0.92
   222 3.078 0.482 0.269 1.05
   546 3.392 0.558 0.275 2.53
  1343 3.649 0.652 0.267 3.10
  3304 4.200 0.777 0.273 13.20
  8129 4.406 0.838 0.270 51.54
 20000 4.555 0.846 0.271 134.40
SUMMARY: p=6.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.559 nbrs_over_random=2.533 aligned=0.845 S=116.93 accept=0.279 records=4205 seconds=807
