weights (10.0,1.0,2.0) scale c=0.3158 (neutral) rho=0.3 L=24 sweeps=3000 seed=3 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.650 0.415 0.402 0.10
     2 1.732 0.443 0.358 0.11
     4 1.750 0.474 0.346 0.12
     9 1.789 0.526 0.332 0.07
    18 1.828 0.543 0.342 0.20
    38 1.860 0.558 0.325 0.17
    79 1.935 0.582 0.336 0.25
   163 1.930 0.611 0.331 0.31
   338 1.946 0.600 0.330 0.24
   700 2.007 0.639 0.330 0.70
  1449 2.012 0.663 0.333 0.53
  3000 2.220 0.718 0.330 3.13
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.3158 rho=0.3 L=24 nbrs=2.146 nbrs_over_random=1.192 aligned=0.700 S=2.43 accept=0.334 records=4159 seconds=116
