weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=3 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.654 0.379 0.418 0.11
     2 1.742 0.422 0.385 0.15
     4 1.756 0.455 0.366 0.16
     9 1.801 0.471 0.376 0.21
    18 1.852 0.486 0.377 0.20
    38 1.849 0.505 0.361 0.05
    79 1.831 0.500 0.374 0.13
   163 1.853 0.504 0.374 0.14
   338 1.856 0.509 0.363 0.12
   700 1.838 0.505 0.375 0.17
  1449 1.833 0.507 0.363 0.07
  3000 1.855 0.509 0.361 0.43
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.3 L=24 nbrs=1.852 nbrs_over_random=1.029 aligned=0.508 S=0.30 accept=0.366 records=4159 seconds=121
