weights (6.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=3 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.398 0.293 0.382 0.10
     2 2.490 0.310 0.331 0.13
     4 2.570 0.338 0.314 0.13
     9 2.672 0.356 0.300 0.12
    18 2.774 0.382 0.283 0.25
    38 2.821 0.419 0.276 0.27
    79 2.943 0.447 0.283 0.19
   163 3.056 0.470 0.275 0.75
   338 3.246 0.502 0.273 2.78
   700 3.402 0.570 0.270 7.53
  1449 3.836 0.682 0.269 10.91
  3000 4.158 0.784 0.268 29.08
SUMMARY: p=6.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.109 nbrs_over_random=2.283 aligned=0.763 S=24.60 accept=0.274 records=4159 seconds=185
