weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=20000 seed=5 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.612 0.428 0.388 0.20
     2 1.713 0.475 0.340 0.26
     6 1.749 0.546 0.314 0.43
    15 1.888 0.585 0.305 0.62
    37 1.925 0.629 0.314 0.47
    90 1.999 0.662 0.296 0.50
   222 2.083 0.703 0.308 1.21
   546 2.197 0.758 0.311 1.52
  1343 2.599 0.843 0.308 7.84
  3304 2.922 0.896 0.318 10.10
  8129 2.946 0.907 0.311 7.63
 20000 3.012 0.913 0.322 13.93
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.3 L=24 nbrs=3.012 nbrs_over_random=1.673 aligned=0.906 S=10.01 accept=0.320 records=4205 seconds=784
