weights (6.0,1.0,2.0) scale c=1.0000 (1) rho=0.3 L=24 sweeps=3000 seed=4 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 2.375 0.283 0.383 0.11
     2 2.478 0.299 0.334 0.12
     4 2.578 0.343 0.309 0.12
     9 2.707 0.366 0.295 0.33
    18 2.786 0.389 0.289 0.13
    38 2.853 0.409 0.282 0.28
    79 2.917 0.430 0.283 0.54
   163 3.048 0.485 0.280 0.64
   338 3.156 0.480 0.276 0.41
   700 3.379 0.567 0.274 4.18
  1449 3.763 0.664 0.275 9.65
  3000 4.007 0.761 0.288 14.05
SUMMARY: p=6.0 q=1.0 r=2.0 c=1.0000 rho=0.3 L=24 nbrs=4.046 nbrs_over_random=2.248 aligned=0.741 S=17.75 accept=0.274 records=4145 seconds=116
