weights (8.0,1.0,2.0) scale c=0.3529 (neutral) rho=0.3 L=24 sweeps=3000 seed=2 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.715 0.371 0.417 0.02
     2 1.749 0.420 0.381 0.04
     4 1.774 0.451 0.372 0.10
     9 1.798 0.476 0.368 0.06
    18 1.833 0.485 0.366 0.16
    38 1.849 0.507 0.369 0.18
    79 1.860 0.514 0.366 0.16
   163 1.878 0.500 0.368 0.13
   338 1.866 0.510 0.361 0.47
   700 1.897 0.506 0.369 0.36
  1449 1.849 0.508 0.360 0.05
  3000 1.883 0.494 0.368 0.10
SUMMARY: p=8.0 q=1.0 r=2.0 c=0.3529 rho=0.3 L=24 nbrs=1.871 nbrs_over_random=1.040 aligned=0.513 S=0.23 accept=0.365 records=4188 seconds=137
