weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=3000 seed=3 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.592 0.438 0.386 0.10
     2 1.672 0.472 0.336 0.11
     4 1.709 0.530 0.326 0.12
     9 1.737 0.578 0.309 0.12
    18 1.816 0.609 0.312 0.19
    38 1.876 0.620 0.312 0.18
    79 1.947 0.668 0.303 0.38
   163 2.013 0.670 0.312 0.58
   338 2.092 0.731 0.310 0.83
   700 2.286 0.777 0.304 3.04
  1449 2.587 0.856 0.310 5.23
  3000 2.894 0.876 0.326 11.30
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.3 L=24 nbrs=2.794 nbrs_over_random=1.552 aligned=0.879 S=9.57 accept=0.318 records=4159 seconds=119
