weights (10.0,1.0,2.0) scale c=0.3158 (neutral) rho=0.3 L=24 sweeps=3000 seed=4 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.684 0.415 0.400 0.09
     2 1.696 0.450 0.359 0.12
     4 1.739 0.485 0.346 0.14
     9 1.786 0.528 0.341 0.10
    18 1.851 0.553 0.335 0.23
    38 1.857 0.573 0.332 0.26
    79 1.890 0.584 0.334 0.61
   163 1.920 0.611 0.330 0.14
   338 1.909 0.603 0.341 0.55
   700 1.960 0.635 0.333 0.29
  1449 1.992 0.653 0.324 0.43
  3000 2.181 0.711 0.334 1.20
SUMMARY: p=10.0 q=1.0 r=2.0 c=0.3158 rho=0.3 L=24 nbrs=2.132 nbrs_over_random=1.184 aligned=0.698 S=1.12 accept=0.335 records=4145 seconds=127
