weights (12.0,1.0,2.0) scale c=0.2857 (neutral) rho=0.3 L=24 sweeps=3000 seed=2 mode=parallel; random baseline: nbrs=1.800 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 1.663 0.429 0.390 0.04
     2 1.672 0.482 0.335 0.04
     4 1.722 0.519 0.322 0.12
     9 1.813 0.556 0.319 0.11
    18 1.877 0.599 0.308 0.11
    38 1.940 0.646 0.299 0.16
    79 2.002 0.668 0.303 0.16
   163 2.061 0.690 0.302 0.55
   338 2.129 0.729 0.302 0.49
   700 2.231 0.759 0.310 0.59
  1449 2.490 0.829 0.303 2.88
  3000 2.666 0.856 0.312 10.47
SUMMARY: p=12.0 q=1.0 r=2.0 c=0.2857 rho=0.3 L=24 nbrs=2.663 nbrs_over_random=1.480 aligned=0.858 S=8.01 accept=0.311 records=4188 seconds=118
