block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.057628299954483403,0.0065967826875231736,0.017075446211846316,0.013467182932722713,0.026784991583864493,0,0,0
1,0.05637659308147476,0.0073924441018255157,0.016933835309417104,0.015107236797946807,0.02672899236317805,0,0,0
2,0.05714112994993175,0.0076920033551859841,0.019215895725605669,0.012134060095110932,0.026662686853332077,-0.1015625,0,0
3,0.059143149749658633,0.0078838571507147421,0.020462997455008722,0.015575608663204159,0.026229420354934065,0.203125,0,0
4,0.058140361857077827,0.0069987787202559996,0.018330899310779115,0.011786015756148016,0.027812999128983315,0,0,0
5,0.058570636094674534,0.0080005847754695738,0.017002239608898743,0.012823838248695563,0.02689327605034364,-0.1015625,0,0
6,0.056835315202548933,0.0079201895241134881,0.01869679461965262,0.012543709141408364,0.027511735377962313,0,0,0.1015625
7,0.05652594446973145,0.0072859211299702159,0.016741917017147383,0.012595964341106245,0.026479511980607495,0,0,0
8,0.058513740327719624,0.0088619409089059631,0.019627348636769227,0.014884039960619048,0.028498799578183714,0,0,-0.1015625
9,0.058037238279471985,0.008282242844418532,0.017483179029144542,0.01293230715377482,0.02706694221656971,-0.1015625,0,0
10,0.056518832498862082,0.0078863538040161735,0.01696665308537219,0.012434163111989268,0.030061743567844496,0,0,0
11,0.055892979062357788,0.0071540486025491977,0.017197800227350221,0.012269769622409324,0.028658307325720944,0,0,0
12,0.058239929449248967,0.0076516565037230049,0.018769439868439954,0.013410223047132797,0.028784031528563989,0,0,0
