rho,S_x1,S_x2,S_xy1,S_xy2,Fx2_per_V,Fy2_per_V,Fz2_per_V,Fx_per_sqrtV,Fy_per_sqrtV,Fz_per_sqrtV
7.532399999999989104e-01,4.148168865675087580e-01,3.093299747405389710e-01,4.532144712530430941e-01,3.883694979648224521e-01,3.844531250000038369e-01,5.248828124999964650e-01,3.166015625000043188e-01,-1.589843750000002054e-01,1.138671875000002998e-01,-1.107421874999998251e-01
7.546633750000037999e-01,3.163299475641483394e-01,3.080637822822734351e-01,3.818231076592425999e-01,3.549427057481580050e-01,3.422656250000025713e-01,2.205859374999996070e-01,2.081640624999995803e-01,-6.640624999999986122e-02,3.105468749999993477e-02,-1.376953124999999445e-01
7.532085000000006136e-01,4.221127571455624006e-01,3.327746655072371662e-01,4.320922135305681477e-01,3.397350463787133790e-01,5.586718750000015943e-01,2.928515625000007172e-01,2.855078124999988476e-01,-2.828125000000010214e-01,-2.167968749999986747e-02,2.111328125000005995e-01
7.539661875000055469e-01,3.234673947788078707e-01,4.010252299902599127e-01,3.757172356849861616e-01,3.104251562232083761e-01,5.637500000000036371e-01,6.670312500000017408e-01,3.205078125000014322e-01,4.609374999999999584e-02,-5.624999999999961975e-02,-2.443359374999989897e-01
7.535337500000008903e-01,4.128325362196569315e-01,3.657204408104165472e-01,2.797433762563861226e-01,3.904951325610572233e-01,5.235546875000025580e-01,3.741015625000038702e-01,3.417968750000062728e-01,-1.347656249999988620e-02,-8.691406250000068001e-02,8.749999999999956424e-02
7.545551250000041010e-01,3.625085328354234471e-01,3.319620679358969983e-01,4.050064205057942179e-01,2.584286789512248439e-01,2.758593750000014055e-01,3.565234375000007061e-01,3.506640625000012612e-01,3.515625000000177896e-03,-3.222656250000054817e-02,-2.363281249999992298e-02
7.537210625000032582e-01,3.432714126437748092e-01,3.972009127715587784e-01,2.817306560845003194e-01,3.283590398899344787e-01,3.489843750000022338e-01,3.310546875000052736e-01,2.697656250000000644e-01,5.234375000000002914e-02,1.126953124999997002e-01,-6.796875000000006384e-02
7.547697500000034587e-01,3.343311590354916540e-01,3.328447671478836911e-01,3.523404684721173075e-01,4.340008311144914477e-01,3.196093750000016942e-01,4.323437500000054112e-01,4.578906250000067124e-01,-1.210937500000032474e-02,-1.578124999999997169e-01,-1.792968750000006328e-01
7.540917499999989504e-01,3.957989357229799721e-01,3.330178114826029545e-01,4.126512554424158763e-01,4.051708204883405773e-01,5.244921875000030376e-01,3.360156250000047029e-01,3.741796875000049649e-01,-8.144531250000158762e-02,-2.542968750000011990e-01,-9.765625000001927711e-04
7.532887500000002845e-01,3.060076318913062532e-01,4.439993379747870228e-01,3.079229839360057563e-01,3.849793197847403703e-01,3.380859375000024869e-01,3.482031250000029443e-01,3.576171875000039857e-01,-6.542968750000049960e-02,1.203124999999997252e-01,-1.777343749999978767e-02
7.527615000000003054e-01,3.876674999532482291e-01,3.005768393030804897e-01,3.204194920237267152e-01,2.833019125365898172e-01,3.176562500000014722e-01,4.623828125000052913e-01,3.941796875000039835e-01,6.249999999999997224e-02,-2.353515624999998057e-01,9.355468749999970579e-02
7.539527499999985061e-01,4.055850921909573414e-01,3.207057716099298017e-01,3.864860885999702456e-01,3.511074823621196939e-01,4.830859375000043920e-01,3.857421875000041633e-01,3.923437500000038214e-01,-8.300781250000033307e-02,-2.869140624999994005e-01,1.273437499999999500e-01
7.527404375000019687e-01,4.329292734603041315e-01,2.850600081270557307e-01,3.433495534458884668e-01,3.906320984673076202e-01,2.489062499999997458e-01,3.069140625000005840e-01,3.278125000000052802e-01,-4.921875000000005412e-02,1.923828125000008604e-01,-1.019531249999998251e-01
7.536393750000029979e-01,3.140986829259077573e-01,4.184201361810470088e-01,3.762291220288528359e-01,3.383816932201760830e-01,6.002734375000000622e-01,3.057031250000009637e-01,3.327734375000028222e-01,-7.480468750000004996e-02,1.625000000000001166e-01,-3.613281249999961142e-02
7.530555625000021625e-01,4.153062512561869757e-01,4.458344355865003217e-01,4.109104350359533142e-01,4.477084413564407228e-01,2.737109374999981415e-01,2.977734374999995715e-01,4.616796875000040434e-01,-5.761718750000013878e-02,1.642578125000003775e-01,3.162109375000006217e-01
7.538102499999994599e-01,2.406846268748970563e-01,3.241286938254618888e-01,3.459257888472045961e-01,4.149370692332028931e-01,2.514062500000001088e-01,4.194140625000031819e-01,1.499609374999991140e-01,-8.671874999999891476e-02,-2.123046874999990896e-01,6.582031249999997780e-02
7.540588750000006835e-01,3.153423619015075507e-01,4.421478969599148545e-01,4.129137257842002695e-01,3.589010234420762502e-01,3.362109375000054690e-01,3.414453125000004863e-01,2.448437499999986111e-01,6.835937499999592340e-03,-1.115234375000000305e-01,-8.671875000000048295e-02
7.536524999999978380e-01,3.133436464604263394e-01,3.638769751352405879e-01,3.008449141875240707e-01,3.507167419471066694e-01,3.548828125000018652e-01,3.997656250000073408e-01,3.484765625000003642e-01,1.802734374999996614e-01,1.843750000000009825e-01,1.599609375000004829e-01
