N 4
site partner identity births_at_site
0 -1 -1 0
1 -1 -1 0
2 3 0 1
3 2 1 1
4 7 2 1
5 6 4 1
6 5 5 1
7 4 3 1
8 9 6 1
9 8 7 1
10 11 8 1
11 10 9 1
12 15 10 1
13 14 12 1
14 13 13 1
15 12 11 1
16 19 14 1
17 18 16 1
18 17 17 1
19 16 15 1
20 21 18 1
21 20 19 1
22 23 20 1
23 22 21 1
24 27 22 1
25 26 24 1
26 25 25 1
27 24 23 1
28 29 26 1
29 28 27 1
30 31 28 1
31 30 29 1
32 33 30 1
33 32 31 1
34 35 32 1
35 34 33 1
36 39 34 1
37 38 36 1
38 37 37 1
39 36 35 1
40 41 38 1
41 40 39 1
42 43 40 1
43 42 41 1
44 47 42 1
45 46 44 1
46 45 45 1
47 44 43 1
48 51 46 1
49 50 48 1
50 49 49 1
51 48 47 1
52 53 50 1
53 52 51 1
54 55 52 1
55 54 53 1
56 59 54 1
57 58 56 1
58 57 57 1
59 56 55 1
60 61 58 1
61 60 59 1
62 63 60 1
63 62 61 1
