N 6
site partner identity births_at_site
0 6 0 1
1 7 2 1
2 8 4 1
3 9 6 1
4 10 8 1
5 11 10 1
6 0 1 1
7 1 3 1
8 2 5 1
9 3 7 1
10 4 9 1
11 5 11 1
12 18 12 1
13 19 14 1
14 20 16 1
15 21 18 1
16 22 20 1
17 23 22 1
18 12 13 1
19 13 15 1
20 14 17 1
21 15 19 1
22 16 21 1
23 17 23 1
24 30 24 1
25 31 26 1
26 32 28 1
27 33 30 1
28 34 32 1
29 35 34 1
30 24 25 1
31 25 27 1
32 26 29 1
33 27 31 1
34 28 33 1
35 29 35 1
36 42 36 1
37 43 38 1
38 44 40 1
39 45 42 1
40 46 44 1
41 47 46 1
42 36 37 1
43 37 39 1
44 38 41 1
45 39 43 1
46 40 45 1
47 41 47 1
48 54 48 1
49 55 50 1
50 56 52 1
51 57 54 1
52 58 56 1
53 59 58 1
54 48 49 1
55 49 51 1
56 50 53 1
57 51 55 1
58 52 57 1
59 53 59 1
60 66 60 1
61 67 62 1
62 68 64 1
63 69 66 1
64 70 68 1
65 71 70 1
66 60 61 1
67 61 63 1
68 62 65 1
69 63 67 1
70 64 69 1
71 65 71 1
72 78 72 1
73 79 74 1
74 80 76 1
75 81 78 1
76 82 80 1
77 83 82 1
78 72 73 1
79 73 75 1
80 74 77 1
81 75 79 1
82 76 81 1
83 77 83 1
84 90 84 1
85 91 86 1
86 92 88 1
87 93 90 1
88 94 92 1
89 95 94 1
90 84 85 1
91 85 87 1
92 86 89 1
93 87 91 1
94 88 93 1
95 89 95 1
96 102 96 1
97 103 98 1
98 104 100 1
99 105 102 1
100 106 104 1
101 107 106 1
102 96 97 1
103 97 99 1
104 98 101 1
105 99 103 1
106 100 105 1
107 101 107 1
108 114 108 1
109 115 110 1
110 116 112 1
111 117 114 1
112 118 116 1
113 119 118 1
114 108 109 1
115 109 111 1
116 110 113 1
117 111 115 1
118 112 117 1
119 113 119 1
120 126 120 1
121 127 122 1
122 128 124 1
123 129 126 1
124 130 128 1
125 131 130 1
126 120 121 1
127 121 123 1
128 122 125 1
129 123 127 1
130 124 129 1
131 125 131 1
132 138 132 1
133 139 134 1
134 140 136 1
135 141 138 1
136 142 140 1
137 143 142 1
138 132 133 1
139 133 135 1
140 134 137 1
141 135 139 1
142 136 141 1
143 137 143 1
144 150 144 1
145 151 146 1
146 152 148 1
147 153 150 1
148 154 152 1
149 155 154 1
150 144 145 1
151 145 147 1
152 146 149 1
153 147 151 1
154 148 153 1
155 149 155 1
156 162 156 1
157 163 158 1
158 164 160 1
159 165 162 1
160 166 164 1
161 167 166 1
162 156 157 1
163 157 159 1
164 158 161 1
165 159 163 1
166 160 165 1
167 161 167 1
168 174 168 1
169 175 170 1
170 176 172 1
171 177 174 1
172 178 176 1
173 179 178 1
174 168 169 1
175 169 171 1
176 170 173 1
177 171 175 1
178 172 177 1
179 173 179 1
180 186 180 1
181 187 182 1
182 188 184 1
183 189 186 1
184 190 188 1
185 191 190 1
186 180 181 1
187 181 183 1
188 182 185 1
189 183 187 1
190 184 189 1
191 185 191 1
192 198 192 1
193 199 194 1
194 200 196 1
195 201 198 1
196 202 200 1
197 203 202 1
198 192 193 1
199 193 195 1
200 194 197 1
201 195 199 1
202 196 201 1
203 197 203 1
204 210 204 1
205 211 206 1
206 212 208 1
207 213 210 1
208 214 212 1
209 215 214 1
210 204 205 1
211 205 207 1
212 206 209 1
213 207 211 1
214 208 213 1
215 209 215 1
