time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,64,192,0,0,0,0,0
0.0023589702950638875,2,62,181,10,1,0,0,1
0.0046573246298627826,4,60,170,20,2,0,0,1
0.0047982826758717683,6,58,160,28,3,0,0,1
0.0067936123093966586,8,56,151,34,4,0,0,1
0.0069742770406840118,10,54,141,42,5,0,0,1
0.0073854051469010029,12,52,131,50,6,0,0,1
0.0087403362850387006,14,50,121,58,7,0,0,1
0.01501814869146745,16,48,112,64,8,0,0,1
0.015983762309579281,18,46,102,72,9,0,0,1
0.018269700912457904,20,44,93,78,10,0,0,1
0.022915237691334328,22,42,84,84,11,0,0,1
0.025968811187741234,24,40,77,86,12,0,0,1
0.029822247713557987,26,38,71,86,13,0,0,1
0.031841410679398281,28,36,64,88,14,0,0,1
0.041780051909686991,30,34,58,88,15,0,0,1
0.043408163174799001,32,32,50,92,16,0,0,1
0.04938489728388934,34,30,45,90,17,0,0,1
0.053685090116476562,36,28,39,90,18,0,0,1
0.055355950374722997,38,26,31,94,19,0,0,1
0.056952538251094566,40,24,25,94,20,0,0,1
0.065951472366121242,42,22,20,92,21,0,0,1
0.075760514306073556,44,20,19,82,22,1,0,1
0.079490931374730539,46,18,12,84,23,1,0,1
0.10908534022997925,48,16,10,76,24,2,0,1
0.14546688566489885,50,14,9,66,25,3,0,1
0.15288526730463262,52,12,5,62,26,4,1,2
0.15730109817835999,54,10,2,56,27,4,1,2
0.16245258877746896,56,8,0,48,28,4,2,2
0.92578552295355898,58,6,1,34,29,17,4,2
1.7085731938651585,60,4,1,22,30,31,5,2
3.7979256667582324,62,2,0,12,31,57,7,2
7.43223487670552,64,0,0,0,32,83,9,2
