N 4
site partner identity births_at_site
0 -1 -1 0
1 13 0 1
2 6 2 1
3 15 4 1
4 -1 -1 0
5 9 6 1
6 2 3 1
7 11 8 1
8 12 10 1
9 5 7 1
10 14 12 1
11 7 9 1
12 8 11 1
13 1 1 1
14 10 13 1
15 3 5 1
16 28 14 1
17 21 16 1
18 30 18 1
19 23 20 1
20 24 22 1
21 17 17 1
22 26 24 1
23 19 21 1
24 20 23 1
25 29 26 1
26 22 25 1
27 31 28 1
28 16 15 1
29 25 27 1
30 18 19 1
31 27 29 1
32 36 30 1
33 45 32 1
34 38 34 1
35 47 36 1
36 32 31 1
37 41 38 1
38 34 35 1
39 43 40 1
40 44 42 1
41 37 39 1
42 46 44 1
43 39 41 1
44 40 43 1
45 33 33 1
46 42 45 1
47 35 37 1
48 60 46 1
49 53 48 1
50 62 50 1
51 55 52 1
52 56 54 1
53 49 49 1
54 58 56 1
55 51 53 1
56 52 55 1
57 61 58 1
58 54 57 1
59 63 60 1
60 48 47 1
61 57 59 1
62 50 51 1
63 59 61 1
