N 4
site partner identity births_at_site
0 4 0 1
1 5 2 1
2 18 4 1
3 15 6 1
4 0 1 1
5 1 3 1
6 7 8 1
7 6 9 1
8 24 10 1
9 25 12 1
10 26 14 1
11 27 16 1
12 28 18 1
13 29 20 1
14 30 22 1
15 3 7 1
16 17 24 1
17 16 25 1
18 2 5 1
19 35 26 1
20 21 28 1
21 20 29 1
22 23 30 1
23 22 31 1
24 8 11 1
25 9 13 1
26 10 15 1
27 11 17 1
28 12 19 1
29 13 21 1
30 14 23 1
31 47 32 1
32 48 34 1
33 49 36 1
34 50 38 1
35 19 27 1
36 39 40 1
37 53 42 1
38 54 44 1
39 36 41 1
40 44 46 1
41 45 48 1
42 46 50 1
43 59 52 1
44 40 47 1
45 41 49 1
46 42 51 1
47 31 33 1
48 32 35 1
49 33 37 1
50 34 39 1
51 63 54 1
52 55 56 1
53 37 43 1
54 38 45 1
55 52 57 1
56 60 58 1
57 61 60 1
58 62 62 1
59 43 53 1
60 56 59 1
61 57 61 1
62 58 63 1
63 51 55 1
