time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,64,192,0,0,0,0,0
0.010722818863030791,2,62,181,10,1,0,0,1
0.011636880404774256,4,60,170,20,2,0,0,1
0.10048687641029402,6,58,160,28,3,4,0,1
0.1277088615567839,8,56,151,34,4,5,0,1
0.19625978417495485,10,54,142,40,5,8,0,1
0.19770845817382615,12,52,132,48,6,8,0,1
0.30350551714911145,14,50,121,58,7,15,0,1
0.36209944356351192,16,48,113,62,8,17,0,1
0.4750164323180518,18,46,105,66,9,25,0,1
0.49607907875261775,20,44,95,74,10,26,0,1
0.5046376059998362,22,42,87,78,11,26,0,1
0.58362361265429841,24,40,76,88,12,31,0,1
0.79010033935435919,26,38,73,82,13,46,1,2
1.1036000952541092,28,36,63,90,14,75,1,2
1.1837402206500982,30,34,59,86,15,84,1,2
2.1791850383973217,32,32,49,94,16,166,1,2
2.3133275324788043,34,30,49,82,17,183,2,2
2.4626525726369577,36,28,42,84,18,196,4,2
2.6914711202842678,38,26,34,88,19,217,5,2
2.7298596513636575,40,24,24,96,20,221,5,2
2.7969370048484894,42,22,25,82,21,226,6,2
4.1924601497627814,44,20,23,74,22,348,6,2
4.3950802202408132,46,18,18,72,23,361,7,2
6.0452505870845998,48,16,17,62,24,504,8,2
6.1639309028969587,50,14,11,62,25,511,10,3
7.8140856596476311,52,12,7,58,26,589,12,3
9.4385135705644529,54,10,5,50,27,679,14,3
10.93239289948186,56,8,2,44,28,749,15,3
12.901231895508504,58,6,2,32,29,833,17,3
17.938443007833463,60,4,1,22,30,987,19,3
40.557710437430565,62,2,0,12,31,1492,21,3
76.166895558759308,64,0,0,0,32,1919,22,3
